Facility Type,License Number,Entity Name,Camis Trade Name,Address Bldg,Address Street,Address Location,Address City,Address State,Address Zip Code,Telephone Number,Number of Spaces
Garage - Parking Lot Combo,1132509,"CHELSEA MTP OPERATING, LLC",,511-25,WEST   18 STREET,AKA 508-510 WEST 19 ST,NEW YORK,NY,10011,2125755335,250
Garage - Parking Lot Combo,1228910,"37 EAST, LLC",,415,EAST   37 STREET,,NEW YORK,NY,10016,2125643199,60
Parking Garage,363695,"BETHON, JOHN",J BETHON GARAGE,46,DIAMOND STREET,,BROOKLYN,NY,11222,7183832508,5
Parking Garage,363961,44 STATE STREET CORP,,38,STATE STREET,44 ST,BROOKLYN,NY,11201,2128661000,90
Parking Garage,367518,MANHATTAN PARKING SYSTEM W 58TH ST CORP,,200,EAST   67 STREET,,NEW YORK,NY,10021,2122493344,106
Parking Garage,367614,KINNEY SYSTEMS INC,OIL MARKET GARAGE,575,11 AVENUE,,NEW YORK,NY,10036,2128894444,300
Parking Garage,369201,VALOR PARKING LLC,,235,EAST   45 STREET,,NY,NY,10017,2126869800,90
Parking Garage,427552,SLATE PARKING CORP,,329,EAST   21 STREET,333,NEW YORK,NY,10010,2126296602,180
Parking Garage,428016,MERCER PARKING GARAGE CORP,,165-167,MERCER STREET,,NEW YORK,NY,10012,2122265578,120
Parking Garage,429461,1056 5TH AVE PARKING LLC,,1056,5 AVENUE,,NEW YORK,NY,10028,2126869800,55
Parking Garage,429675,INTERTOWN PARKING   CORP,,55,EAST END AVENUE,59,NEW YORK,NY,10028,2127367171,90
Parking Garage,429678,ABILITY PARKING CORP,,200,EAST END AVENUE,,NEW YORK,NY,10128,2122493344,41
Parking Garage,697253,DIRECT PARKING LLC,DIRECT PARKING LLC,51,WEST   56 STREET,"AKA 45 W 56 ST, 40 W 57 ST",NEW YORK,NY,10019,2126869800,140
Parking Garage,731368,JO-DASH PARKING LLC,,488-504,3 AVENUE,,NEW YORK,NY,10016,2126869800,55
Parking Garage,736268,PLAZA GARAGE CORP,GGMC,1751-1763,2 AVENUE,,NEW YORK,NY,10128,2129966363,104
Parking Garage,760802,MERIT PARKING LLC,,Dec-14,EAST 107 STREET,,NEW YORK,NY,10029,2126869800,"1,000"
